Original Latitude,Original Longitude,Wave Latitude,Wave Longitude,Distance from Previous,Speed,Altitude,Bearing
13.556223,80.027504,13.556223,80.027504,0.0,0.18081764121372335,0,N/A
13.558684,80.027633,13.559163425538603,80.02851058256188,343.0741627550516,0.2740057686266047,0,18.407
13.559227,80.026646,13.560068470984808,80.02718630230586,174.84590195160297,0.12259072854675707,0,305.108
13.558851,80.025272,13.559848494986605,80.02534273720167,201.01949552415113,0.1542960922498179,0,263.003
13.557892,80.024757,13.558801297426827,80.02434085316345,158.6890677474116,0.12029262186694555,0,222.925
13.556807,80.024414,13.557405472144103,80.02361285638445,173.36881023923812,0.1262152519653052,0,206.886
13.555305,80.024028,13.55544612000806,80.0230380075034,225.52639218332578,0.17214805879799197,0,195.919
13.554179,80.024028,13.55382821677231,80.02309154331272,179.09097247196524,0.12520548740188672,0,178.158
13.553511,80.024714,13.552754197504692,80.02406035637914,158.47917995077893,0.10495840468250583,0,138.752
13.553261,80.025916,13.552283469882335,80.02570520420056,185.49860851933454,0.13287466240047602,0,106.403
13.553261,80.027461,13.552302075725336,80.02774466218547,220.76023949723572,0.16701206706046615,0,89.462
13.553845,80.029221,13.55313945967443,80.0299296697743,254.00260157746908,0.20103015870539084,0,68.484
13.555305,80.030379,13.555025584501802,80.03133917028664,258.49459808724845,0.20500029115525886,0,35.998
13.557224,80.029778,13.557439119988087,80.03075458762572,274.4166384909304,0.22305370757483006,0,346.750
13.559185,80.028963,13.559841986598718,80.02971690225435,288.59453849665283,0.23517768937428427,0,337.227
13.560437,80.029907,13.561374999976776,80.03025363531783,179.2788752785333,0.1726085118652979,0,18.796
13.560061,80.030551,13.561050358246623,80.0304054999662,39.499388238076115,0.0812036566024707,0,155.546
13.559185,80.031023,13.559983487112623,80.03042098809732,118.0455622277773,0.10996011895241199,0,179.191
13.556724,80.031323,13.557136118485243,80.03041186973812,315.02111377400377,0.2755655026460794,0,180.178
13.553887,80.031066,13.553811848879537,80.0300688278438,369.6511144017799,0.316680916755201,0,185.729
13.552593,80.029564,13.552048978889111,80.02872492847092,243.3072165539762,0.21694531141309004,0,216.543
13.551592,80.029907,13.550712304240028,80.029431463072,166.48720236734772,0.1173193355469744,0,152.803
13.551967,80.031667,13.55096700979345,80.031671425698,244.08679872685917,0.1947703095910999,0,83.328
13.553887,80.032568,13.553011547825312,80.03305130475876,271.05974920418225,0.23466132799646774,0,33.269
13.556515,80.032783,13.555978427082,80.03362685395872,334.1008996293145,0.29314301516793434,0,10.680
13.559102,80.032182,13.559035678102648,80.03317979827918,341.68359427571505,0.29490605076472426,0,351.909
13.56223,80.031452,13.562650167036827,80.03235944678146,409.62928538050863,0.35665650941900895,0,347.558
13.561688,80.028362,13.562491784426552,80.0289569206633,368.6897496229154,0.33940557357680534,0,267.259
13.561563,80.026259,13.562553607355694,80.02639573721821,277.29464087470234,0.22774751850035083,0,271.423
13.560937,80.024629,13.561871895055523,80.02427407573322,241.70722809038148,0.18944598705780744,0,251.710
